#TYPE Selected.System.String
"Alpha","NumberOfDetectors","Fi","Filtering","Value"
"1.0","270","135","False","3327.336190202389"
"1.0","270","135","True","147.58360101201308"
"1.0","270","180","False","2650.220254282921"
"1.0","270","180","True","104.72664205272744"
"1.0","270","225","False","2117.207177068577"
"1.0","270","225","True","80.76405571916654"
"1.0","270","270","False","1758.3408896563944"
"1.0","270","270","True","65.58028271266005"
"1.0","270","45","False","4075.408454306474"
"1.0","270","45","True","202.3855809289009"
"1.0","270","90","False","3712.081964393746"
"1.0","270","90","True","179.06408772331207"
"1.0","360","135","False","4445.563740855584"
"1.0","360","135","True","201.67179544042423"
"1.0","360","180","False","3540.7001533345806"
"1.0","360","180","True","147.13059953232107"
"1.0","360","225","False","2830.714048031334"
"1.0","360","225","True","113.20936782852928"
"1.0","360","270","False","2357.440407377277"
"1.0","360","270","True","91.42409605208606"
"1.0","360","45","False","5443.027478907109"
"1.0","360","45","True","269.1330541850339"
"1.0","360","90","False","4956.797466187567"
"1.0","360","90","True","239.3035844288952"
"1.0","450","135","False","5562.784129731677"
"1.0","450","135","True","256.6898162286132"
"1.0","450","180","False","4434.478462119712"
"1.0","450","180","True","190.79446212705867"
"1.0","450","225","False","3542.635342561225"
"1.0","450","225","True","147.19297925789104"
"1.0","450","270","False","2950.5356997160948"
"1.0","450","270","True","118.8509565795955"
"1.0","450","45","False","6810.48684535684"
"1.0","450","45","True","336.7460355850785"
"1.0","450","90","False","6202.019057406595"
"1.0","450","90","True","300.5897902633361"
"1.0","540","135","False","6681.199742670886"
"1.0","540","135","True","312.23327710889583"
"1.0","540","180","False","5326.500191064117"
"1.0","540","180","True","234.8980106665812"
"1.0","540","225","False","4257.604432010404"
"1.0","540","225","True","182.0954576618225"
"1.0","540","270","False","3543.7055381645496"
"1.0","540","270","True","147.2282815993786"
"1.0","540","45","False","8178.082937906849"
"1.0","540","45","True","404.8059168408305"
"1.0","540","90","False","7447.442277572097"
"1.0","540","90","True","362.3949598188505"
"1.0","90","135","False","1096.2533167981267"
"1.0","90","135","True","56.47516939442259"
"1.0","90","180","False","867.6470056298648"
"1.0","90","180","True","44.03217702937527"
"1.0","90","225","False","693.5264727365384"
"1.0","90","225","True","45.823886794081886"
"1.0","90","270","False","577.9935140089651"
"1.0","90","270","True","46.84098024017085"
"1.0","90","45","False","1346.5208330941603"
"1.0","90","45","True","80.9828151202401"
"1.0","90","90","False","1226.2844195102514"
"1.0","90","90","True","72.59645830275427"
"1.33","180","135","False","1652.8578133218061"
"1.33","180","135","True","71.25884926208595"
"1.33","180","180","False","1314.463540398749"
